Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year, Month, Monthly Mean, Relative Sea Level Trend Line, Higher 95% Confidence Interval, and Lower 95% Confidence Interval.
Product of NOAA’s National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year   Month    Monthly_MSL        Linear_Trend     High_Conf.      Low_Conf.
1899   1        -0.209          -0.199           -0.189          -0.209          
1899   2        -0.295          -0.198           -0.189          -0.208          
1899   3        -0.242          -0.198           -0.188          -0.208          
1899   4        -0.214          -0.198           -0.188          -0.208          
1899   5        -0.224          -0.198           -0.188          -0.208          
1899   6        -0.218          -0.198           -0.188          -0.208          
1899   7        -0.207          -0.198           -0.188          -0.208          
1899   8        -0.208          -0.197           -0.188          -0.207          
1899   9        -0.225          -0.197           -0.187          -0.207          
1899   10       -0.183          -0.197           -0.187          -0.207          
1899   11       -0.000          -0.197           -0.187          -0.207          
1899   12       -0.116          -0.197           -0.187          -0.207          
1900   1        -0.123          -0.197           -0.187          -0.206          
1900   2        -0.176          -0.196           -0.187          -0.206          
1900   3        -0.099          -0.196           -0.186          -0.206          
1900   4        -0.168          -0.196           -0.186          -0.206          
1900   5        -0.084          -0.196           -0.186          -0.206          
1900   6        -0.084          -0.196           -0.186          -0.205          
1900   7        -0.164          -0.196           -0.186          -0.205          
1900   8        -0.205          -0.195           -0.186          -0.205          
1900   9        -0.225          -0.195           -0.185          -0.205          
1900   10       -0.125          -0.195           -0.185          -0.205          
1900   11       -0.168          -0.195           -0.185          -0.205          
1900   12       -0.120          -0.195           -0.185          -0.204          
1901   1        -0.169          -0.194           -0.185          -0.204          
1901   2        -0.228          -0.194           -0.185          -0.204          
1901   3        -0.209          -0.194           -0.184          -0.204          
1901   4        -0.266          -0.194           -0.184          -0.204          
1901   5        -0.167          -0.194           -0.184          -0.203          
1901   6        -0.212          -0.194           -0.184          -0.203          
1901   7        -0.219          -0.193           -0.184          -0.203          
1901   8        -0.211          -0.193           -0.184          -0.203          
1901   9        -0.177          -0.193           -0.183          -0.203          
1901   10       -0.232          -0.193           -0.183          -0.203          
1901   11       -0.162          -0.193           -0.183          -0.202          
1901   12       -0.281          -0.193           -0.183          -0.202          
1902   1        -0.288          -0.192           -0.183          -0.202          
1902   2        -0.063          -0.192           -0.183          -0.202          
1902   3        -0.148          -0.192           -0.182          -0.202          
1902   4        -0.187          -0.192           -0.182          -0.201          
1902   5        -0.148          -0.192           -0.182          -0.201          
1902   6        -0.182          -0.192           -0.182          -0.201          
1902   7        -0.180          -0.191           -0.182          -0.201          
1902   8        -0.171          -0.191           -0.182          -0.201          
1902   9        -0.189          -0.191           -0.181          -0.201          
1902   10       -0.141          -0.191           -0.181          -0.200          
1902   11       -0.110          -0.191           -0.181          -0.200          
1902   12       -0.098          -0.190           -0.181          -0.200          
1903   1        -0.117          -0.190           -0.181          -0.200          
1903   2        -0.240          -0.190           -0.181          -0.200          
1903   3        -0.151          -0.190           -0.180          -0.199          
1903   4        -0.193          -0.190           -0.180          -0.199          
1903   5        -0.212          -0.190           -0.180          -0.199          
1903   6        -0.182          -0.189           -0.180          -0.199          
1903   7        -0.192          -0.189           -0.180          -0.199          
1903   8        -0.190          -0.189           -0.180          -0.199          
1903   9        -0.204          -0.189           -0.180          -0.198          
1903   10       -0.168          -0.189           -0.179          -0.198          
1903   11       -0.083          -0.189           -0.179          -0.198          
1903   12       -0.226          -0.188           -0.179          -0.198          
1904   1        -0.248          -0.188           -0.179          -0.198          
1904   2        0.010           -0.188           -0.179          -0.197          
1904   3        -0.029          -0.188           -0.179          -0.197          
1904   4        -0.116          -0.188           -0.178          -0.197          
1904   5        -0.191          -0.188           -0.178          -0.197          
1904   6        -0.209          -0.187           -0.178          -0.197          
1904   7        -0.164          -0.187           -0.178          -0.197          
1904   8        -0.202          -0.187           -0.178          -0.196          
1904   9        -0.189          -0.187           -0.178          -0.196          
1904   10       -0.199          -0.187           -0.177          -0.196          
1904   11       -0.043          -0.186           -0.177          -0.196          
